"COMID","urban","forest","wetland","agrc","shrub","turban","tforest","twetland","tagrc","tshrub"
"23099412",3.35,1.2,14.71,31.42,0,5.19,29.08,1.55,14.54,42.31
"23099414",10.53,0,22.96,33.49,0,5.19,29.08,1.55,14.54,42.31
"23099416",0,0,0,0,0,5.19,29.08,1.55,14.54,42.31
"23099418",18.67,0,22.28,5.42,21.69,5.19,29.08,1.55,14.54,42.31
"23099420",64.9,0.29,12.15,5.81,8.97,5.19,29.08,1.55,14.54,42.31
"23099422",64.93,0,0.75,0,19.9,5.17,29.09,1.55,14.54,42.33
"23099424",57.12,0,0.54,8.13,32.79,5.17,29.09,1.55,14.54,42.33
"23099426",42.5,0,0.44,14.33,42.54,5.17,29.1,1.55,14.55,42.33
"23099428",77.7,0,3.4,2.46,10.02,5.14,29.11,1.55,14.55,42.33
"23099430",79.91,0,1,9.8,4.98,5.14,29.11,1.55,14.55,42.33
"23099432",52.12,0,0.37,24.26,21.75,5.14,29.11,1.55,14.55,42.33
"23099434",24.44,0,0,4.74,69.33,5.08,29.14,1.55,14.53,42.35
"23099436",59.96,0,0,14.87,25.08,5.08,29.15,1.55,14.54,42.35
"23099438",28.24,0,0.43,46.7,21.45,5.04,29.17,1.55,14.53,42.36
"23099440",0,0,0.29,71.35,19.2,5.04,29.19,1.55,14.51,42.37
"23099442",4.44,0,15.56,42.22,24.44,5.04,29.19,1.55,14.51,42.37
"23099444",32.02,0,3.93,26.4,14.61,5.04,29.19,1.55,14.51,42.37
"23099446",13.49,0.26,0.35,50.1,34.36,5.04,29.19,1.55,14.51,42.37
"23099448",0,0,12.86,58.57,0,5.04,29.21,1.55,14.48,42.38
"23099450",23.29,0,2.62,33.3,35.03,5.04,29.21,1.55,14.48,42.38
"23099452",10.88,0.33,3.12,56.01,24.68,5.03,29.22,1.55,14.48,42.38
"23099454",10.22,0,3.29,49.21,33.99,5.03,29.22,1.55,14.47,42.38
"23099456",2.71,0.11,2.67,70.93,18.01,5.03,29.22,1.55,14.47,42.38
"23099458",1.29,0,0.23,77.53,19.36,5.03,29.23,1.55,14.46,42.39
"23099460",3.24,0.02,0.36,11.38,83.56,5.03,29.27,1.55,14.38,42.42
"23099462",5.3,0,1.97,1.97,78.63,5.04,29.34,1.55,14.39,42.32
"23099464",13.9,0,0,0.37,77.43,5.04,29.34,1.55,14.39,42.32
"23099466",0,0,14.29,0,0,1.62,0.02,0,4.14,73.29
"23099468",2.05,0,0.32,0.39,90.61,1.62,0.02,0,4.14,73.29
"23099470",1.56,0,0,0,97.69,1.65,0.02,0,4.21,73.13
"23099472",2.56,0,0,0,97.44,1.66,0.02,0,4.27,72.73
"23099474",2.17,0,0,0,97.73,1.66,0.02,0,4.3,72.6
"23099484",6.96,0,0,0.2,73.51,1.91,0.02,0,5.73,72.74
"23099486",0,0,0,0,27.79,1.76,0.02,0,6.14,72.83
"23099488",4.12,0,0,0,59.87,3.28,0.01,0,5.62,69.45
"23099492",3.1,0,0,0.17,31.91,0.59,0.03,0,8.34,74.31
"23099494",0,0,0,0,81.47,0.52,0.03,0,8.72,75.61
"23099496",0,0,0,0,83.33,0.49,0.03,0,7.79,77.29
"23099498",0,0,0,0,48.81,0.36,0.04,0,6.29,83
"23099500",0,0,0,0,67.57,0.36,0.04,0,6.42,84.03
"23099502",4.62,0,0,48.22,45.25,0.17,0.03,0,1.67,91.63
"23099504",1.65,0,0,27.66,58.68,0.07,0.04,0,0.4,93.65
"23099506",0.91,0,0,0,79.5,0.02,0.04,0,0,94.68
"23099508",0,0,0,0,33.33,0,0.04,0,0,95.02
"23099510",0,0,0,0,89.39,0,0.04,0,0,94.92
"23099512",0,0,0,0,100,0,0.04,0,0,95.79
"23099514",0,0,0,0,92.33,0,0.04,0,0,95.8
"23099516",0,0,0,0,76.87,0,0.04,0,0,95.72
"23099518",0,0,0,0,98.7,0,0.05,0,0,97.82
"23099520",0,0,0,0,100,0,0.06,0,0,97.75
"23099522",0,0,0,0,98.13,0,0.06,0,0,97.69
"23099524",0,0.61,0,0,97.92,0,0.07,0,0,97.54
"23099526",0,0,0,0,98.19,0,0.06,0,0,97.44
"23099528",0,0,0,0,80.12,0,0.06,0,0,97.33
"23099530",0,0.1,0,0,97.69,0,0.07,0,0,97.34
"23099532",0,0,0,0,80,0,0.07,0,0,97.2
"23099534",0,0,0,0,90.21,0,0.07,0,0,97.11
"23099536",0,0,0,0,90.21,0,0.08,0,0,97.04
"23099538",0,0,0,0,96.75,0,0.09,0,0,98.14
"23099540",0,0,0,0,91.6,0,0.13,0,0,98.38
"23099542",0,0.07,0,0,97.02,0,0.14,0,0,98.25
"23099544",0,0,0,0,79.56,0,0.13,0,0,98.97
"23099546",0,0.24,0,0,98.9,0,0.24,0,0,98.9
"23099548",1.29,0.06,0.86,28.33,61.04,5.25,31.14,1.65,15.01,40.41
"23099550",0,0,0.59,0,82.51,5.25,31.17,1.65,15.01,40.38
"23099552",3.66,0,0,0.34,73.6,5.25,31.18,1.65,15.01,40.38
"23099554",2.29,0,0.26,0.14,83.48,5.25,31.18,1.65,15.01,40.38
"23099558",7.83,0,0,0,73.73,5.25,31.22,1.65,15.04,40.33
"23099560",3.82,0,1.21,5.79,70.37,5.25,31.22,1.65,15.04,40.33
"23099562",7.26,0,2.77,38.41,42.91,5.25,31.22,1.65,15.04,40.32
"23099564",22.08,0,0.63,15.18,53,5.26,31.23,1.65,15.04,40.32
"23099566",37.25,0.61,1.21,15.46,37.59,5.24,31.26,1.65,15.04,40.3
"23099568",23.91,0.21,0.53,40.19,31.11,5.24,31.27,1.65,15.04,40.3
"23099570",3.34,0,0.56,36.16,54.88,5.23,31.29,1.65,15.03,40.31
"23099572",66.77,0,0.49,22.84,6.03,5.23,31.3,1.65,15.02,40.3
"23099576",62.09,0,0,7.86,26.51,5.19,31.51,1.66,14.77,40.32
"23099578",31.38,0,0,22.5,40.98,5.19,31.51,1.66,14.78,40.32
"23099580",33.31,0,0,56.42,7.46,5.17,31.53,1.67,14.78,40.31
"23099582",13.33,0,0,0,20,5.17,31.54,1.67,14.77,40.32
"23099584",25.47,0,1.88,8.31,44.5,5.17,31.54,1.67,14.77,40.32
"23099586",18.62,0.85,2.53,19.12,47.55,5.17,31.54,1.67,14.77,40.32
"23099588",31.69,0,4.23,0,40.85,5.17,31.54,1.67,14.77,40.32
"23099590",8.2,0.93,4.34,36.68,47.83,5.17,31.54,1.67,14.77,40.32
"23099594",27.41,0,0.57,3.44,56.55,5.18,31.8,1.68,14.55,40.29
"23099596",8.48,0,0,0,85.32,5.17,31.8,1.68,14.55,40.29
"23099598",4.51,0,0.28,0.15,89.54,5.17,31.81,1.68,14.55,40.28
"23099600",6.13,0,0.62,22.43,65.51,5.17,31.82,1.68,14.55,40.27
"23099602",6.33,0.54,0.89,40.17,47.85,5.17,31.83,1.68,14.55,40.26
"23099606",11.2,0,4,42.4,29.6,5.17,31.89,1.68,14.46,40.28
