"COMID","FromNode","ToNode","Hydrosq","AreSqKM","cum_totco2g_m2_day","TOT_urban16","TOT_forest16","TOT_wetland16","TOT_agrc16","TOT_shrub16","CAT_STREAM_LENGTH","CAT_STREAM_SLOPE","TOT_STREAM_LENGTH","TOT_STREAM_SLOPE","CAT_BASIN_AREA","TOT_BASIN_AREA","totco2g_m2_day_fill","logQ_m3_div_s","logDA_km2","logw_m","length_m","logwbkf_m","logd_m","logK_m_div_s","D50_m","StreamOrde","pred_annual_DOC","pred_annual_DO","no3_conc_mg_l","logRT_total_hz_s","logq_hz_total_m_s","totco2_o2g_m2_day","totco2_ang_m2_day"
"23099412",50019140,50019139,50004374,0.6732,188677.692884392,5.1,28.94,1.33,14.62,23.4,1.315,0,11437.56,0.033914,0.67,15230.09,3.30765795707703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099414",50019141,50019140,50004383,0.1881,188674.385226435,5.11,28.95,1.33,14.62,23.4,0.316,0,11436.24,0.033918,0.19,15229.42,1.65351593494415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099416",50019142,50019141,50004392,0.0018,188672.7317105,5.11,28.95,1.33,14.62,23.4,0.021,0,11435.93,0.033919,0,15229.23,136.833419799805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099418",50019143,50019142,50004402,0.1494,188535.8982907,5.11,28.95,1.33,14.62,23.4,0.171,0,11435.91,0.033919,0.15,15229.23,2.21397376060486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099420",50019144,50019143,50004412,5.8797,188533.684316939,5.11,28.95,1.33,14.62,23.4,3.264,0,11435.74,0.033919,5.88,15229.08,0.127100901019156,2.01080240388523,4.18267364241153,2.07000959203421,3264,2.10680483900017,0.198143088924089,-3.85656985046699,0.0002178005,7,2.32539202723663,10.8632964347727,0.424408403427716,8.50044002144888,-5.7904581779834,0.125761852093601,0.00133904892555523
"23099422",50019145,50019144,50004425,0.3618,188533.557216038,5.08,28.96,1.32,14.63,23.41,0.427,0,11432.47,0.033929,0.36,15223.2,7.00266933441162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099424",50019146,50019145,50004438,4.9896,188526.554546704,5.08,28.96,1.32,14.63,23.41,0.686,0,11432.05,0.03393,4.99,15222.84,6.17546033859253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099426",50019147,50019146,50004449,7.0056,188520.379086365,5.06,28.97,1.32,14.63,23.41,0.267,0,11431.36,0.033932,7.01,15217.85,2.7571042167819,2.01078752892131,4.18235324193493,2.06984093677991,267,2.10665667310873,0.198017977821158,-1.86096775694351,0.0037146006,7,2.24263145533563,10.8631956682349,0.424341161378862,6.44354723323259,-4.4083667283116,2.73000769258709,0.027096524194811
"23099428",50019148,50019147,50004460,0.4761,188517.621982148,5.03,28.98,1.32,14.63,23.41,0.446,0,11431.09,0.033933,0.48,15210.84,4.0191276322935,2.0107786516838,4.18215326661978,2.06973567199383,446,2.1065641965895,0.197939890778089,-1.77723574088474,0.0041840663,7,2.3190886669112,10.8631327299594,0.42429019047428,6.41880809875889,-4.29447838657733,3.97627836050087,0.0428492717926278
"23099430",50019149,50019148,50004472,0.5418,188513.602854516,5.03,28.98,1.32,14.63,23.41,0.217,0,11430.65,0.033934,0.54,15210.37,0.583049007327998,2.01077805186407,4.18213967297168,2.06972851644837,217,2.10655791034733,0.197934582687379,-2.52232609541917,0.0014509961,7,2.35605652002831,10.8631285090946,0.424287857530694,7.45904640903083,-5.15865930348761,0.576692628617393,0.0063563787106047
"23099432",50019150,50019149,50004484,12.006,188513.019805509,5.03,28.98,1.32,14.63,23.41,2.19,0,11430.43,0.033935,12.01,15209.82,1.39666328662348,2.01077733207904,4.18212420293391,2.06972037319221,2190,2.10655075638813,0.197928541875509,-2.19430681033081,0.002312849,7,2.27810570543365,11.4774839244086,0.424284905695504,7.05340076404805,-4.7524023030785,1.38524680010872,0.0114164865147594
"23099434",50019151,50019150,50004497,0.3609,188511.377439572,4.99,29.01,1.32,14.63,23.41,0.385,0,11425.76,0.033948,0.36,15193.91,1.23472070378606,2.01075609788671,4.1816695181229,2.0694810321549,385,2.10634049209308,0.197750994991189,-2.22203749881729,0.0022234613,7,2.21594554951067,10.8629806066952,0.424037247097292,6.91838343277243,-4.78601765040597,1.22297176832015,0.0117489354659082
"23099436",50019152,50019151,50004510,5.7807,188510.142718868,4.99,29.01,1.32,14.63,23.41,3.238,0,11425.38,0.033949,5.78,15193.55,0.538132600043769,2.0107556180059,4.1816592022298,2.06947560198328,3238,2.10633572161485,0.197746966796821,-2.51954896640568,0.0014567349,7,2.26985145153847,10.8629773701016,0.42403626736577,7.55978418857847,-5.14522650810792,0.532776785048267,0.0053558149955021
"23099438",50019153,50019152,50004523,7.6689,188411.54467919,4.94,29.04,1.32,14.62,23.4,2.694,0,11420.3,0.033963,7.67,15178.66,0.122840297939044,2.01073558251112,4.18123349016108,2.0692515118759,2694,2.10613885546525,0.19758073328993,-3.03735871159963,0.0006978224,7,2.27769073107841,10.8628434337674,0.42249364137247,8.29276646847026,-5.80302286462488,0.121613894682122,0.00122640325692256
"23099440",50019154,50019153,50004535,0.3141,188411.421838892,4.93,29.06,1.32,14.61,23.41,0.406,0,11417.61,0.033971,0.31,15170.99,0.0506062206146024,2.01072526447068,4.18101401082847,2.06913598039153,406,2.10603735951458,0.197495030226801,-3.34431289451438,0.000451094,7,2.28298632778887,10.8676353101501,0.42231709509943,8.50500064137964,-6.20363384502248,0.0500973432720907,0.000508877342511708
"23099442",50019155,50019154,50004547,0.0405,188411.371232671,4.93,29.06,1.32,14.61,23.41,0.094,0,11417.2,0.033972,0.04,15170.68,21.0726261138916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23099444",50019156,50019155,50004559,0.1602,188390.298606557,4.93,29.06,1.32,14.61,23.41,0.424,0,11417.11,0.033973,0.16,15170.64,2.84512157648366,2.01072478455579,4.18100385970507,2.06913063695285,424,2.1060326652324,0.197491066382503,-1.91882544323201,0.00342135,7,2.29743326351237,10.8676321587089,0.422305311210354,6.67118389432777,-4.46976827536116,2.81558060942499,0.0295409670586704
"23099446",50019157,50019156,50004572,11.9268,188387.453484981,4.93,29.06,1.32,14.6,23.41,1.149,0,11416.69,0.033974,11.93,15170.48,0.246934629232238,2.01072454459815,4.18099927358674,2.06912822287107,1149,2.10603054442934,0.197489275582393,-2.77494622578809,0.0010132763,7,2.25221064989783,10.8676307180258,0.422304503707334,7.76714242954948,-5.49051521077606,0.244528765768139,0.00240586346409931
"23099448",50019158,50019157,50004584,0.063,188387.206550351,4.93,29.08,1.32,14.58,23.4,0.192,0,11415.54,0.033977,0.06,15158.55,0.135593686644477,2.01070846713634,4.18065770356436,2.06894842420287,192,2.10587258890008,0.197355898153473,-3.08596434334126,0.0006512405,7,2.80385389843073,10.86752325427,0.42209043873167,8.21100710709327,-5.86547228220266,0.133114135305357,0.00247955133912075
