COMID,FromNode,ToNode,Hydrosq,AreSqKM,cum_totco2g_m2_day,TOT_urban16,TOT_forest16,TOT_wetland16,TOT_agrc16,TOT_shrub16,TOT_othr16,h_tot,h_rel,tot_other_3,tot_ntrl_3,tot_shrb_3,h_rel_3,h_rel_3,CAT_STREAM_LENGTH,CAT_STREAM_SLOPE,TOT_STREAM_LENGTH,TOT_STREAM_SLOPE,CAT_BASIN_AREA,TOT_BASIN_AREA,totco2g_m2_day_fill,logQ_m3_div_s,logDA_km2,logw_m,length_m,logwbkf_m,logd_m,logK_m_div_s,D50_m,StreamOrde,pred_annual_DOC,pred_annual_DO,no3_conc_mg_l,logRT_total_hz_s,logq_hz_total_m_s,totco2_o2g_m2_day,totco2_ang_m2_day
23099412,50019140,50019139,50004374,0.6732,188677.6929,5.1,28.94,1.33,14.62,23.4,26.61,1.541333797,0.860234771,46.33,30.27,23.4,0.96308228,0.783019433,1.315,0,11437.56,0.033914,0.67,15230.09,3.307657957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099414,50019141,50019140,50004383,0.1881,188674.3852,5.11,28.95,1.33,14.62,23.4,26.59,1.541490418,0.860322183,46.32,30.28,23.4,0.963120998,0.783098998,0.316,0,11436.24,0.033918,0.19,15229.42,1.653515935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099416,50019142,50019141,50004392,0.0018,188672.7317,5.11,28.95,1.33,14.62,23.4,26.59,1.541490418,0.860322183,46.32,30.28,23.4,0.963120998,0.783098998,0.021,0,11435.93,0.033919,0,15229.23,136.8334198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099418,50019143,50019142,50004402,0.1494,188535.8983,5.11,28.95,1.33,14.62,23.4,26.59,1.541490418,0.860322183,46.32,30.28,23.4,0.963120998,0.783098998,0.171,0,11435.91,0.033919,0.15,15229.23,2.213973761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099420,50019144,50019143,50004412,5.8797,188533.6843,5.11,28.95,1.33,14.62,23.4,26.59,1.541490418,0.860322183,46.32,30.28,23.4,0.963120998,0.783098998,3.264,0,11435.74,0.033919,5.88,15229.08,0.127100901,2.010802404,4.182673642,2.070009592,3264,2.106804839,0.198143089,-3.85656985,0.000217801,7,2.325392027,10.86329643,0.424408403,8.500440021,-5.790458178,0.125761852,0.001339049
23099422,50019145,50019144,50004425,0.3618,188533.5572,5.08,28.96,1.32,14.63,23.41,26.6,1.540758821,0.859913871,46.31,30.28,23.41,0.963183123,0.782727337,0.427,0,11432.47,0.033929,0.36,15223.2,7.002669334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099424,50019146,50019145,50004438,4.9896,188526.5545,5.08,28.96,1.32,14.63,23.41,26.6,1.540758821,0.859913871,46.31,30.28,23.41,0.963183123,0.782727337,0.686,0,11432.05,0.03393,4.99,15222.84,6.175460339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23099426,50019147,50019146,50004449,7.0056,188520.3791,5.06,28.97,1.32,14.63,23.41,26.61,1.540418771,0.859724085,46.3,30.29,23.41,0.963221772,0.782554586,0.267,0,11431.36,0.033932,7.01,15217.85,2.757104217,2.010787529,4.182353242,2.069840937,267,2.106656673,0.198017978,-1.860967757,0.003714601,7,2.242631455,10.86319567,0.424341161,6.443547233,-4.408366728,2.730007693,0.027096524
23099428,50019148,50019147,50004460,0.4761,188517.622,5.03,28.98,1.32,14.63,23.41,26.63,1.539911314,0.859440868,46.29,30.3,23.41,0.963260371,0.782296791,0.446,0,11431.09,0.033933,0.48,15210.84,4.019127632,2.010778652,4.182153267,2.069735672,446,2.106564197,0.197939891,-1.777235741,0.004184066,7,2.319088667,10.86313273,0.42429019,6.418808099,-4.294478387,3.976278361,0.042849272
23099430,50019149,50019148,50004472,0.5418,188513.6029,5.03,28.98,1.32,14.63,23.41,26.63,1.539911314,0.859440868,46.29,30.3,23.41,0.963260371,0.782296791,0.217,0,11430.65,0.033934,0.54,15210.37,0.583049007,2.010778052,4.182139673,2.069728516,217,2.10655791,0.197934583,-2.522326095,0.001450996,7,2.35605652,10.86312851,0.424287858,7.459046409,-5.158659303,0.576692629,0.006356379
